daily_closing_price,time
0.753231,2021-10-05 00:00:00.000 UTC
0.791419,2021-10-06 00:00:00.000 UTC
0.821882,2021-10-07 00:00:00.000 UTC
0.829485,2021-10-08 00:00:00.000 UTC
0.863974,2021-10-09 00:00:00.000 UTC
0.819283,2021-10-10 00:00:00.000 UTC
0.787657,2021-10-11 00:00:00.000 UTC
0.751362,2021-10-12 00:00:00.000 UTC
0.774669,2021-10-13 00:00:00.000 UTC
0.815756,2021-10-14 00:00:00.000 UTC
0.805699,2021-10-15 00:00:00.000 UTC
0.840118,2021-10-16 00:00:00.000 UTC
0.816192,2021-10-17 00:00:00.000 UTC
0.817595,2021-10-18 00:00:00.000 UTC
0.824431,2021-10-19 00:00:00.000 UTC
0.878795,2021-10-20 00:00:00.000 UTC
0.910181,2021-10-21 00:00:00.000 UTC
0.916355,2021-10-22 00:00:00.000 UTC
0.902505,2021-10-23 00:00:00.000 UTC
0.878466,2021-10-24 00:00:00.000 UTC
0.902302,2021-10-25 00:00:00.000 UTC
0.966518,2021-10-26 00:00:00.000 UTC
0.800756,2021-10-27 00:00:00.000 UTC
0.823642,2021-10-28 00:00:00.000 UTC
0.834827,2021-10-29 00:00:00.000 UTC
0.808869,2021-10-30 00:00:00.000 UTC
0.881764,2021-10-31 00:00:00.000 UTC
1.222451,2021-11-01 00:00:00.000 UTC
1.06,2021-11-02 00:00:00.000 UTC
1.01,2021-11-03 00:00:00.000 UTC
0.98,2021-11-04 00:00:00.000 UTC
0.95,2021-11-05 00:00:00.000 UTC
0.94,2021-11-06 00:00:00.000 UTC
0.96,2021-11-07 00:00:00.000 UTC
1.01,2021-11-08 00:00:00.000 UTC
0.97,2021-11-09 00:00:00.000 UTC
0.89,2021-11-10 00:00:00.000 UTC
0.93,2021-11-11 00:00:00.000 UTC
0.91,2021-11-12 00:00:00.000 UTC
0.95,2021-11-13 00:00:00.000 UTC
0.93,2021-11-14 00:00:00.000 UTC
0.91,2021-11-15 00:00:00.000 UTC
0.845951,2021-11-16 00:00:00.000 UTC
0.859267,2021-11-17 00:00:00.000 UTC
0.796892,2021-11-18 00:00:00.000 UTC
0.898726,2021-11-19 00:00:00.000 UTC
0.922889,2021-11-20 00:00:00.000 UTC
0.99747,2021-11-21 00:00:00.000 UTC
1.031537,2021-11-22 00:00:00.000 UTC
1.109057,2021-11-23 00:00:00.000 UTC
0.995912,2021-11-24 00:00:00.000 UTC
1.004949,2021-11-25 00:00:00.000 UTC
1.129808,2021-11-26 00:00:00.000 UTC
1.138757,2021-11-27 00:00:00.000 UTC
1.083979,2021-11-28 00:00:00.000 UTC
1.055724,2021-11-29 00:00:00.000 UTC
1.316327,2021-11-30 00:00:00.000 UTC
1.244287,2021-12-01 00:00:00.000 UTC
1.220065,2021-12-02 00:00:00.000 UTC
1.25621,2021-12-03 00:00:00.000 UTC
1.038332,2021-12-04 00:00:00.000 UTC
0.942745,2021-12-05 00:00:00.000 UTC
0.955114,2021-12-06 00:00:00.000 UTC
0.906493,2021-12-07 00:00:00.000 UTC
0.935794,2021-12-08 00:00:00.000 UTC
0.89659,2021-12-09 00:00:00.000 UTC
0.836476,2021-12-10 00:00:00.000 UTC
0.871536,2021-12-11 00:00:00.000 UTC
0.87045,2021-12-12 00:00:00.000 UTC
0.772732,2021-12-13 00:00:00.000 UTC
0.795446,2021-12-14 00:00:00.000 UTC
0.804366,2021-12-15 00:00:00.000 UTC
0.805379,2021-12-16 00:00:00.000 UTC
0.779047,2021-12-17 00:00:00.000 UTC
0.789628,2021-12-18 00:00:00.000 UTC
0.775724,2021-12-19 00:00:00.000 UTC
0.756992,2021-12-20 00:00:00.000 UTC
0.782587,2021-12-21 00:00:00.000 UTC
0.977489,2021-12-22 00:00:00.000 UTC
0.949218,2021-12-23 00:00:00.000 UTC
0.914503,2021-12-24 00:00:00.000 UTC
0.974735,2021-12-25 00:00:00.000 UTC
0.952635,2021-12-26 00:00:00.000 UTC
0.97325,2021-12-27 00:00:00.000 UTC
0.877739,2021-12-28 00:00:00.000 UTC
0.837368,2021-12-29 00:00:00.000 UTC
0.868529,2021-12-30 00:00:00.000 UTC
0.859161,2021-12-31 00:00:00.000 UTC
0.893697,2022-01-01 00:00:00.000 UTC
0.902733,2022-01-02 00:00:00.000 UTC
0.918867,2022-01-03 00:00:00.000 UTC
0.946687,2022-01-04 00:00:00.000 UTC
0.871268,2022-01-05 00:00:00.000 UTC
0.825923,2022-01-06 00:00:00.000 UTC
0.756799,2022-01-07 00:00:00.000 UTC
0.728015,2022-01-08 00:00:00.000 UTC
0.742162,2022-01-09 00:00:00.000 UTC
0.705774,2022-01-10 00:00:00.000 UTC
0.744567,2022-01-11 00:00:00.000 UTC
0.794626,2022-01-12 00:00:00.000 UTC
0.751657,2022-01-13 00:00:00.000 UTC
0.801715,2022-01-14 00:00:00.000 UTC
0.82539,2022-01-15 00:00:00.000 UTC
0.825647,2022-01-16 00:00:00.000 UTC
0.788684,2022-01-17 00:00:00.000 UTC
0.772006,2022-01-18 00:00:00.000 UTC
0.754876,2022-01-19 00:00:00.000 UTC
0.751463,2022-01-20 00:00:00.000 UTC
0.639241,2022-01-21 00:00:00.000 UTC
0.627307,2022-01-22 00:00:00.000 UTC
0.637997,2022-01-23 00:00:00.000 UTC
0.583084,2022-01-24 00:00:00.000 UTC
0.597767,2022-01-25 00:00:00.000 UTC
0.569071,2022-01-26 00:00:00.000 UTC
0.542704,2022-01-27 00:00:00.000 UTC
0.582262,2022-01-28 00:00:00.000 UTC
0.590835,2022-01-29 00:00:00.000 UTC
0.57815,2022-01-30 00:00:00.000 UTC
0.578859,2022-01-31 00:00:00.000 UTC
0.578153,2022-02-01 00:00:00.000 UTC
0.534564,2022-02-02 00:00:00.000 UTC
0.548575,2022-02-03 00:00:00.000 UTC
0.616302,2022-02-04 00:00:00.000 UTC
0.614204,2022-02-05 00:00:00.000 UTC
0.619333,2022-02-06 00:00:00.000 UTC
0.663035,2022-02-07 00:00:00.000 UTC
0.625998,2022-02-08 00:00:00.000 UTC
0.658597,2022-02-09 00:00:00.000 UTC
0.616765,2022-02-10 00:00:00.000 UTC
0.573623,2022-02-11 00:00:00.000 UTC
0.573203,2022-02-12 00:00:00.000 UTC
0.558869,2022-02-13 00:00:00.000 UTC
0.570967,2022-02-14 00:00:00.000 UTC
0.607347,2022-02-15 00:00:00.000 UTC
0.605141,2022-02-16 00:00:00.000 UTC
0.5602,2022-02-17 00:00:00.000 UTC
0.538962,2022-02-18 00:00:00.000 UTC
0.532682,2022-02-19 00:00:00.000 UTC
0.493251,2022-02-20 00:00:00.000 UTC
0.443528,2022-02-21 00:00:00.000 UTC
0.469515,2022-02-22 00:00:00.000 UTC
0.446535,2022-02-23 00:00:00.000 UTC
0.433414,2022-02-24 00:00:00.000 UTC
0.453577,2022-02-25 00:00:00.000 UTC
0.448606,2022-02-26 00:00:00.000 UTC
0.43077,2022-02-27 00:00:00.000 UTC
0.482313,2022-02-28 00:00:00.000 UTC
0.494751,2022-03-01 00:00:00.000 UTC
0.497836,2022-03-02 00:00:00.000 UTC
0.469578,2022-03-03 00:00:00.000 UTC
